"district","county","subcounty","year","level","ownership","value","location_code","thematic_area"
"Kayunga","Bbaale","Bbaale","2024","Primary","Government","6","D01S09","education"
"Kayunga","Bbaale","Bbaale","2024","Primary","Private","18","D01S09","education"
"Kayunga","Bbaale","Bbaale","2024","Secondary","Government","1","D01S09","education"
"Kayunga","Bbaale","Bbaale","2024","Secondary","Private","1","D01S09","education"
"Kayunga","Bbaale","Bbaale","2024","Tertiary","Government","0","D01S09","education"
"Kayunga","Bbaale","Bbaale","2024","Tertiary","Private","0","D01S09","education"
"Kayunga","Ntenjeru","Busaana","2024","Primary","Government","21","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2024","Primary","Private","23","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2024","Secondary","Government","1","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2024","Secondary","Private","2","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2024","Tertiary","Government","0","D01S08","education"
"Kayunga","Ntenjeru","Busaana","2024","Tertiary","Private","0","D01S08","education"
"Kayunga","Ntenjeru","Busaana Town Council","2024","Primary","Government","9","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2024","Primary","Private","25","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2024","Secondary","Government","1","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2024","Secondary","Private","2","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2024","Tertiary","Government","0","D01S07","education"
"Kayunga","Ntenjeru","Busaana Town Council","2024","Tertiary","Private","0","D01S07","education"
"Kayunga","Bbaale","Galiraya","2024","Primary","Government","11","D01S12","education"
"Kayunga","Bbaale","Galiraya","2024","Primary","Private","22","D01S12","education"
"Kayunga","Bbaale","Galiraya","2024","Secondary","Government","1","D01S12","education"
"Kayunga","Bbaale","Galiraya","2024","Secondary","Private","1","D01S12","education"
"Kayunga","Bbaale","Galiraya","2024","Tertiary","Government","0","D01S12","education"
"Kayunga","Bbaale","Galiraya","2024","Tertiary","Private","0","D01S12","education"
"Kayunga","Ntenjeru","Kangulumira","2024","Primary","Government","9","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2024","Primary","Private","28","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2024","Secondary","Government","1","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2024","Secondary","Private","5","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2024","Tertiary","Government","1","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira","2024","Tertiary","Private","0","D01S02","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2024","Primary","Government","9","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2024","Primary","Private","45","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2024","Secondary","Government","1","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2024","Secondary","Private","8","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2024","Tertiary","Government","1","D01S01","education"
"Kayunga","Ntenjeru","Kangulumira Town Council","2024","Tertiary","Private","0","D01S01","education"
"Kayunga","Bbaale","Kayonza","2024","Primary","Government","31","D01S10","education"
"Kayunga","Bbaale","Kayonza","2024","Primary","Private","59","D01S10","education"
"Kayunga","Bbaale","Kayonza","2024","Secondary","Government","1","D01S10","education"
"Kayunga","Bbaale","Kayonza","2024","Secondary","Private","5","D01S10","education"
"Kayunga","Bbaale","Kayonza","2024","Tertiary","Government","0","D01S10","education"
"Kayunga","Bbaale","Kayonza","2024","Tertiary","Private","0","D01S10","education"
"Kayunga","Ntenjeru","Kayunga","2024","Primary","Government","19","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2024","Primary","Private","45","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2024","Secondary","Government","1","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2024","Secondary","Private","8","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2024","Tertiary","Government","0","D01S06","education"
"Kayunga","Ntenjeru","Kayunga","2024","Tertiary","Private","1","D01S06","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2024","Primary","Government","7","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2024","Primary","Private","25","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2024","Secondary","Government","2","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2024","Secondary","Private","7","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2024","Tertiary","Government","0","D01S05","education"
"Kayunga","Ntenjeru","Kayunga Town Council","2024","Tertiary","Private","0","D01S05","education"
"Kayunga","Bbaale","Kitimbwa","2024","Primary","Government","18","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2024","Primary","Private","22","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2024","Secondary","Government","1","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2024","Secondary","Private","4","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2024","Tertiary","Government","0","D01S11","education"
"Kayunga","Bbaale","Kitimbwa","2024","Tertiary","Private","1","D01S11","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2024","Primary","Government","8","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2024","Primary","Private","38","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2024","Secondary","Government","0","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2024","Secondary","Private","7","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2024","Tertiary","Government","0","D01S13","education"
"Kayunga","Bbaale","Kitimbwa Town Council","2024","Tertiary","Private","0","D01S13","education"
"Kayunga","Ntenjeru","Nazigo","2024","Primary","Government","15","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2024","Primary","Private","30","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2024","Secondary","Government","1","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2024","Secondary","Private","6","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2024","Tertiary","Government","0","D01S04","education"
"Kayunga","Ntenjeru","Nazigo","2024","Tertiary","Private","1","D01S04","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Primary","Government","4","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Primary","Private","20","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Secondary","Government","1","D01S03","education"
"Kayunga","Ntenjeru","Nazigo Town Council","2024","Secondary","Private","5","D01S03","education"
