"district","county","subcounty","year","level","ownership","value","location_code","thematic_area"
"Masindi","Bujenje","Bikonzi","2014","Nursery","Government","0","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Nursery","Private","0","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Primary","Government","0","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Primary","Private","0","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Secondary","Government","1","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Secondary","Private","0","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Tertiary","Government","0","D02S12","education"
"Masindi","Bujenje","Bikonzi","2014","Tertiary","Private","0","D02S12","education"
"Masindi","Bujenje","Kabango Town Council","2014","Nursery","Government","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Nursery","Private","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Primary","Government","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Primary","Private","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Secondary","Government","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Secondary","Private","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Tertiary","Government","0","D02S20","education"
"Masindi","Bujenje","Kabango Town Council","2014","Tertiary","Private","1","D02S20","education"
"Masindi","Buruli","Kijunjubwa","2014","Nursery","Government","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Nursery","Private","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Primary","Government","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Primary","Private","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Secondary","Government","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Secondary","Private","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Tertiary","Government","0","D02S23","education"
"Masindi","Buruli","Kijunjubwa","2014","Tertiary","Private","0","D02S23","education"
"Masindi","Buruli","Kimengo","2014","Nursery","Government","0","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Nursery","Private","0","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Primary","Government","4","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Primary","Private","0","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Secondary","Government","0","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Secondary","Private","0","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Tertiary","Government","0","D02S10","education"
"Masindi","Buruli","Kimengo","2014","Tertiary","Private","0","D02S10","education"
"Masindi","Buruli","Kiruli","2014","Nursery","Government","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Nursery","Private","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Primary","Government","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Primary","Private","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Secondary","Government","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Secondary","Private","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Tertiary","Government","0","D02S19","education"
"Masindi","Buruli","Kiruli","2014","Tertiary","Private","0","D02S19","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Nursery","Government","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Nursery","Private","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Primary","Government","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Primary","Private","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Secondary","Government","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Secondary","Private","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Tertiary","Government","0","D02S21","education"
"Masindi","Buruli","Kyatiri Town Council","2014","Tertiary","Private","0","D02S21","education"
"Masindi","Buruli","Labongo","2014","Nursery","Government","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Nursery","Private","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Primary","Government","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Primary","Private","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Secondary","Government","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Secondary","Private","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Tertiary","Government","0","D02S07","education"
"Masindi","Buruli","Labongo","2014","Tertiary","Private","0","D02S07","education"
"Masindi","Bujenje","Nyantonzi","2014","Nursery","Government","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Nursery","Private","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Primary","Government","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Primary","Private","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Secondary","Government","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Secondary","Private","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Tertiary","Government","0","D02S16","education"
"Masindi","Bujenje","Nyantonzi","2014","Tertiary","Private","0","D02S16","education"
"Masindi","Buruli","Miirya","2014","Nursery","Government","0","D02S03","education"
"Masindi","Buruli","Miirya","2014","Nursery","Private","0","D02S03","education"
"Masindi","Buruli","Miirya","2014","Primary","Government","8","D02S03","education"
"Masindi","Buruli","Miirya","2014","Primary","Private","0","D02S03","education"
"Masindi","Buruli","Miirya","2014","Secondary","Government","1","D02S03","education"
"Masindi","Buruli","Miirya","2014","Secondary","Private","0","D02S03","education"
