"district","county","year","subcounty","parish","school_name","ownership","gender","grade","value","location_code","facility_id"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Male","Division 1","","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Female","Division 1","","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Male","Division 2","15.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Female","Division 2","16.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Male","Division 3","12.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Female","Division 3","21.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Male","Division 4","7.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Female","Division 4","9.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Male","Division U","3.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Female","Division U","3.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Male","Division X","3.0","D01S12P02","galiraya-cu-primary-school_kayunga"
"Kayunga","Bbaale","2018","Galiraya","Galiraya","Galiraya CU Primary School","Government","Female","Division X","4.0","D01S12P02","galiraya-cu-primary-school_kayunga"
