"district","county","subcounty","parish","year","school_name","ownership","gender","grade","value","location_code","facility_id"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Male","Division 1","16.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Female","Division 1","5.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Male","Division 2","3.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Female","Division 2","6.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Male","Division 3","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Female","Division 3","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Male","Division 4","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Female","Division 4","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Male","Division U","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Female","Division U","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Male","Division X","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2018","Walyoba Brilliant Primary School","Private","Female","Division X","0.0","D02S03P03","walyoba-brilliant-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Male","Division 1","45.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Female","Division 1","15.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Male","Division 2","36.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Female","Division 2","45.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Male","Division 3","0.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Female","Division 3","1.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Male","Division 4","0.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2018","Kinyara Sugar Works Primary School","Government","Female","Division 4","0.0","D02S20P02","kinyara-sugar-works-primary-school_masindi"
