District name,Sub county,Parish,Village,Name of the school,School type,Does the school have Pre-primary education (ECD/Nursery),Total number of learners,Number of boys,Number of girls,Number of learners with disabilities (boys/girls),Total number of teachers,Number of male teachers,Number of Female teachers,Number of teachers on government payroll ,Number of teachers qualified by Diploma,Number of teachers qualified degree and above,Number of teachers qualified by certificate,Number of classroom blocks,"Of these, how many are permanent classrooms",How many are semi-permanent classrooms,How many are temporary classrooms,Number of Toilets,Are there separate toilets for boys and girls? ,"if yes, Number of toilets available for boys","if yes, Number of toilets available for girls",Are there separate toilets for teachers,"if yes, Number of toilets available for teachers",Are toilets accommodative for people with Disabilities e.g walking,Is water available at the school? ,Is there a handwashing point available at school,Does the school have electricity? ,Does the school have an ICT/computer lab? ,"On average, how many pupils does one classroom accommodate /how many learners sit in one classroom (Pupil-classroom ratio)","On average, how pupils does on teacher attend to /teach in this school (Average pupil–teacher ratio)",Pupil-text book ratio-on average one book is used by how many pupils?,"Pupil–toilet ratio( On average, how many pupils use one toilet ?",Take a photo of paper/chat showing enrolment of last term,Take a photo of paper/chat showing enrolment of last term_URL,Photo showing front view of the school,Photo showing front view of the school_URL,Geo location of the school,_Geo location of the school_latitude,_Geo location of the school_longitude,_Geo location of the school_altitude,_Geo location of the school_precision,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Kayunga,Bbaale sub county,Mugongo,Mugongo,Mugongo CU,Government,No,506,239,267,2,9,6,3,7,0,0,7,5,4,1,0,12,Yes,6,6,No,,Yes,Yes,No,No,No,101,72,2,51,1758264330366.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F61289207-1a62-43c8-a946-98f3ca063458%2F1758264330366.jpg,1758264565334.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F61289207-1a62-43c8-a946-98f3ca063458%2F1758264565334.jpg,1.1709805 32.8284026 1037.48 2.789,1.1709805,32.8284026,1037.48,2.789,563612753,61289207-1a62-43c8-a946-98f3ca063458,2025-09-21,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,199
Kayunga,Bbaale sub county,Bbaale ,Bbaale east,The bright Morning Star P/S,Private,Yes,140,64,76,0,8,3,5,,2,0,6,8,8,0,0,10,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,No,18,18,10,18,1758692674927.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fddc62d44-905a-40c4-af8e-59ca271e005e%2F1758692674927.jpg,1758692458616.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fddc62d44-905a-40c4-af8e-59ca271e005e%2F1758692458616.jpg,1.0984996 32.8876356 1067.4000244140625 2.579,1.0984996,32.8876356,1067.400024,2.579,566057630,ddc62d44-905a-40c4-af8e-59ca271e005e,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,363
Kayunga,Bbaale sub county,Bbaale ,Mukondo,Divine embassy kindergarten and primary school ,Private,Yes,227,92,135,2,13,6,7,,1,1,5,2,1,1,0,12,Yes,5,5,Yes,2,Yes,Yes,Yes,Yes,No,23,17,20,23,1758697035175.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff4ecd4fa-4376-4e1b-8ce6-de547951a936%2F1758697035175.jpg,1758697189263.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ff4ecd4fa-4376-4e1b-8ce6-de547951a936%2F1758697189263.jpg,1.0946651 32.8891191 1111.14 2.855,1.0946651,32.8891191,1111.14,2.855,566057652,f4ecd4fa-4376-4e1b-8ce6-de547951a936,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,364
Kayunga,Bbaale sub county,Kavule,Gayaza,Gayaza Junior school,Private,Yes,110,50,60,0,9,2,8,,1,0,1,6,1,5,2,3,Yes,1,1,Yes,1,No,No,Yes,No,No,20,12,10,28,1758710339850.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6b31cd05-4e09-454f-a26a-f625ce633828%2F1758710339850.jpg,1758710386785.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F6b31cd05-4e09-454f-a26a-f625ce633828%2F1758710386785.jpg,1.0592731 32.8967267 1063.807 2.647,1.0592731,32.8967267,1063.807,2.647,566057697,6b31cd05-4e09-454f-a26a-f625ce633828,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,365
Kayunga,Bbaale sub county,Nakitokolo,Nabisubyaki,HolyLand Junior School,Private,Yes,273,115,158,0,12,8,4,,1,0,0,3,9,1,1,2,Yes,1,1,No,,No,Yes,Yes,Yes,No,50,20,20,50,1758705561370.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F87e2c58f-6d2d-4dec-9a16-4363c57bd857%2F1758705561370.jpg,1758705445899.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F87e2c58f-6d2d-4dec-9a16-4363c57bd857%2F1758705445899.jpg,1.1136592 32.8858607 1081.688 1.681,1.1136592,32.8858607,1081.688,1.681,566057712,87e2c58f-6d2d-4dec-9a16-4363c57bd857,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,366
Kayunga,Bbaale sub county,Bbaale,Kabaku,Mulondo Junior School,Private,Yes,114,51,63,1,6,1,5,,2,0,1,3,0,0,3,1,Yes,2,3,Yes,1,No,No,Yes,No,No,19,6,,23,1758703741260.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd694a199-7077-4a06-95b8-264290382348%2F1758703741260.jpg,1758703931177.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd694a199-7077-4a06-95b8-264290382348%2F1758703931177.jpg,1.112969 32.8817261 1079.35 1.42,1.112969,32.8817261,1079.35,1.42,566057737,d694a199-7077-4a06-95b8-264290382348,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,367
Kayunga,Bbaale sub county,Bbaale,Bbaale west,Trinity children's center,Private,Yes,323,154,169,2,12,6,6,,,,6,10,4,6,,6,Yes,2,2,Yes,2,Yes,Yes,Yes,Yes,No,32,27,2,80,1758698794580.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F29e2f31d-4897-4588-bf32-0168bce5a495%2F1758698794580.jpg,1758698877982.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F29e2f31d-4897-4588-bf32-0168bce5a495%2F1758698877982.jpg,1.0960598 32.8868302 1171.335 3.497,1.0960598,32.8868302,1171.335,3.497,566057822,29e2f31d-4897-4588-bf32-0168bce5a495,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,370
Kayunga,Bbaale sub county,Bbaale,Bbaala West,Martin Junior School,Private,Yes,48,17,31,0,3,1,2,,0,0,1,7,0,7,0,5,Yes,2,2,Yes,1,Yes,No,Yes,Yes,No,6,16,2,12,,,1758702291385.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8b470098-f335-4fe1-b764-1c8337d71552%2F1758702291385.jpg,1.0980808 32.8836976 1049.046 1.492,1.0980808,32.8836976,1049.046,1.492,566057848,8b470098-f335-4fe1-b764-1c8337d71552,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,371
Kayunga,Bbaale sub county,Bbaale,Bbaale East,Ebenezer Junior School,Private,Yes,146,76,70,2,6,3,3,,0,0,1,6,0,6,0,3,Yes,1,1,Yes,1,No,Yes,Yes,No,No,24,24,30,73,,,1758700513912.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fd88b2124-04b7-4541-ac2c-a4ce8c23d3e8%2F1758700513912.jpg,1.098048 32.8878777 1075.697 2.597,1.098048,32.8878777,1075.697,2.597,566057886,d88b2124-04b7-4541-ac2c-a4ce8c23d3e8,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,372
Kayunga,Bbaale sub county,Bbaale,Bbaale East,Standard Junior school,Private,Yes,479,268,211,2,12,6,6,,0,1,11,10,,10,,4,Yes,2,2,No,,,Yes,Yes,Yes,No,45,40,50,120,,,1758694994049.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F9d3a88bd-1726-4ba6-b0ee-aa2c493a276d%2F1758694994049.jpg,1.097945 32.8873909 1067.4000244140625 1.47,1.097945,32.8873909,1067.400024,1.47,566057926,9d3a88bd-1726-4ba6-b0ee-aa2c493a276d,2025-09-24,,,submitted_via_web,ebirungi,vFTFrHDVs32ohr2pUs9LRo,,373
