District name,Sub county,Parish,Village,Name of the school,School type,Does the school have Pre-primary education (ECD/Nursery),Total number of learners,Number of boys,Number of girls,Number of learners with disabilities (boys/girls),Total number of teachers,Number of male teachers,Number of Female teachers,Number of teachers on government payroll ,Number of teachers qualified by Diploma,Number of teachers qualified degree and above,Number of teachers qualified by certificate,Number of classroom blocks,"Of these, how many are permanent classrooms",How many are semi-permanent classrooms,How many are temporary classrooms,Number of Toilets,Are there separate toilets for boys and girls? ,"if yes, Number of toilets available for boys","if yes, Number of toilets available for girls",Are there separate toilets for teachers,"if yes, Number of toilets available for teachers",Are toilets accommodative for people with Disabilities e.g walking,Is water available at the school? ,Is there a handwashing point available at school,Does the school have electricity? ,Does the school have an ICT/computer lab? ,"On average, how many pupils does one classroom accommodate /how many learners sit in one classroom (Pupil-classroom ratio)","On average, how pupils does on teacher attend to /teach in this school (Average pupil–teacher ratio)",Pupil-text book ratio-on average one book is used by how many pupils?,"Pupil–toilet ratio( On average, how many pupils use one toilet ?",Take a photo of paper/chat showing enrolment of last term,Take a photo of paper/chat showing enrolment of last term_URL,Photo showing front view of the school,Photo showing front view of the school_URL,Geo location of the school,_Geo location of the school_latitude,_Geo location of the school_longitude,_Geo location of the school_altitude,_Geo location of the school_precision,_id,_uuid
Masindi,Bikonzi ,Bikonzi ,Kihoole,Kihoole primary ,Government,Yes,228,123,105,32,8,2,6,8,6,1,1,7,7,0,0,8,Yes,4,4,No,,No,Yes,Yes,No,No,33,33,33,33,1758018991745.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fad8750af-8bfc-4726-a8e1-f857dffc402c%2F1758018991745.jpg,1758019026705.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fad8750af-8bfc-4726-a8e1-f857dffc402c%2F1758019026705.jpg,1.5777985 31.6355231 1145.9 4.966,1.5777985,31.6355231,1145.9,4.966,560331443,ad8750af-8bfc-4726-a8e1-f857dffc402c
Masindi,Bikonzi ,Bikonzi ,Isagara kiryasenka,Isagara Primary School ,Government,Yes,515,253,262,56,9,3,6,9,4,1,4,9,9,0,0,4,Yes,1,2,Yes,1,Yes,Yes,Yes,Yes,No,57,57,5,172,1758022384873.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ffe0da199-1910-4aaa-b4ac-f9a0a3dcad07%2F1758022384873.jpg,1758022432215.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Ffe0da199-1910-4aaa-b4ac-f9a0a3dcad07%2F1758022432215.jpg,1.5938864 31.617042 1141.1 3.26,1.5938864,31.617042,1141.1,3.26,560331494,fe0da199-1910-4aaa-b4ac-f9a0a3dcad07
Masindi,Bikonzi ,Bikonzi ,Ikoba ,Ikoba Girls Secondary School ,Government,No,191,0,191,0,20,15,5,20,14,6,0,4,4,0,0,4,No,,,Yes,2,No,Yes,Yes,Yes,Yes,48,191,4,96,1758025786400.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8f696858-4275-45bc-bddd-9affc1991082%2F1758025786400.jpg,1758025837287.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F8f696858-4275-45bc-bddd-9affc1991082%2F1758025837287.jpg,1.5920346 31.6478948 1196.7 3.62,1.5920346,31.6478948,1196.7,3.62,560331549,8f696858-4275-45bc-bddd-9affc1991082
Masindi,Bikonzi ,Bikonzi ,Kyoneko,Kinywamurara Primary School ,Government,Yes,324,162,162,52,8,4,4,8,4,1,3,8,8,0,0,10,Yes,4,4,Yes,2,No,Yes,Yes,No,No,46,41,3,41,1758028893825.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe77143a9-e747-488a-93d1-a5f8c446fd2d%2F1758028893825.jpg,1758029145656.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fe77143a9-e747-488a-93d1-a5f8c446fd2d%2F1758029145656.jpg,1.5660323 31.6890958 1143.8 4.9,1.5660323,31.6890958,1143.8,4.9,560331590,e77143a9-e747-488a-93d1-a5f8c446fd2d
Masindi,Bikonzi ,Kikuube,Kikuube ,Kikuube Primary School ,Government,Yes,320,162,158,77,8,5,3,8,5,1,2,4,4,0,0,2,Yes,1,1,No,,Yes,No,Yes,No,No,50,40,4,32,1758030558540.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2a7fceb4-76dd-4552-8c44-849d92d13224%2F1758030558540.jpg,1758030619107.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F2a7fceb4-76dd-4552-8c44-849d92d13224%2F1758030619107.jpg,1.5544825 31.6614756 1123.5 4.24,1.5544825,31.6614756,1123.5,4.24,560331662,2a7fceb4-76dd-4552-8c44-849d92d13224
Masindi,Bikonzi ,Kitonozi,Kitonozi ,Kitonozi Primary School ,Government,Yes,450,234,216,57,9,5,4,9,1,3,5,8,8,0,0,10,Yes,5,5,No,,Yes,Yes,Yes,No,No,56,50,4,46,1758085821354.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa3a1a8fa-dba8-4892-b15a-8fba6cecc414%2F1758085821354.jpg,1758085870804.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa3a1a8fa-dba8-4892-b15a-8fba6cecc414%2F1758085870804.jpg,1.6311932 31.6500146 1136.0 4.85,1.6311932,31.6500146,1136,4.85,560844781,a3a1a8fa-dba8-4892-b15a-8fba6cecc414
Masindi,Bikonzi ,Rukondwa,Kiina,Kiina Primary School ,Government,Yes,515,278,237,108,9,3,6,9,4,1,4,8,8,0,0,11,Yes,5,3,Yes,3,No,Yes,Yes,Yes,No,74,57,5,74,1758087371568.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3491351d-ee0f-4a05-b273-b2e27f7c8399%2F1758087371568.jpg,1758087414176.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F3491351d-ee0f-4a05-b273-b2e27f7c8399%2F1758087414176.jpg,1.6046833 31.6620817 1232.1 4.7,1.6046833,31.6620817,1232.1,4.7,560845373,3491351d-ee0f-4a05-b273-b2e27f7c8399
Masindi,Bikonzi ,Bikonzi ,Bikonzi II,Masindi Center For The Handicapped ,Government,No,153,77,76,153,14,4,10,14,6,3,5,13,13,0,0,14,Yes,7,7,No,,Yes,Yes,Yes,Yes,No,11,11,1,11,1758089989701.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4d25a356-1bb5-4721-8eef-ba450efbd393%2F1758089989701.jpg,1758090046210.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4d25a356-1bb5-4721-8eef-ba450efbd393%2F1758090046210.jpg,1.5925275 31.659447 1226.7 4.52,1.5925275,31.659447,1226.7,4.52,560845474,4d25a356-1bb5-4721-8eef-ba450efbd393
Masindi,Bikonzi ,Rukondwa ,Rukondwa ,Rukondwa Primary School ,Government,Yes,287,139,148,31,9,4,5,9,3,1,5,7,7,0,0,14,Yes,5,5,Yes,4,Yes,Yes,Yes,Yes,No,41,32,6,28,1758099417590.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa8bbdf5e-68ef-461a-851e-9fc203349c60%2F1758099417590.jpg,1758099476605.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2Fa8bbdf5e-68ef-461a-851e-9fc203349c60%2F1758099476605.jpg,1.6239937 31.6869146 1142.4 3.86,1.6239937,31.6869146,1142.4,3.86,560862328,a8bbdf5e-68ef-461a-851e-9fc203349c60
Masindi,Bikonzi ,Bikonzi ,Ikoba ,Ikoba Girls Primary School ,Government,Yes,190,0,190,27,10,4,6,8,4,0,6,7,7,0,0,8,No,,,Yes,2,Yes,Yes,Yes,Yes,No,22,19,2,22,1758095709738.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4b549bed-5ff7-4a04-b331-965668688e66%2F1758095709738.jpg,1758095820295.jpg,https://kc.kobotoolbox.org/media/original?media_file=ebirungi%2Fattachments%2F1770cc68b2384cfdbd83f4d7eb2a8bc9%2F4b549bed-5ff7-4a04-b331-965668688e66%2F1758095820295.jpg,1.5936968 31.6485775 1187.3 4.78,1.5936968,31.6485775,1187.3,4.78,560862566,4b549bed-5ff7-4a04-b331-965668688e66
