district,county,subcounty,school_name,ownership,year,gender,s1,s2,s3,s4,s5,s6,subtotal
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2019,Boys,30,35,28,24,0,0,117
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2019,Girls,55,40,12,14,0,0,121
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2019,Boys,135,139,144,77,0,0,495
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2019,Girls,144,126,124,83,0,0,477
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2019,Boys,78,80,65,41,10,13,287
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2019,Girls,89,72,51,43,2,5,262
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2019,Boys,39,20,25,17,5,0,106
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2019,Girls,38,32,19,13,7,0,109
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2019,Boys,74,68,76,84,78,71,451
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2019,Girls,82,68,71,84,55,57,417
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2019,Boys,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2019,Girls,,,,,,,
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2020,Boys,40,35,35,24,0,0,134
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2020,Girls,56,40,18,14,0,0,128
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2020,Boys,177,176,168,91,0,0,612
Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2020,Girls,168,162,161,69,0,0,560
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2020,Boys,108,82,80,75,17,10,372
Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2020,Girls,112,112,72,60,10,2,368
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2020,Boys,52,44,24,24,9,8,161
Kayunga,Ntenjeru,Busaana,St Peters Kibuzi Senior Secondary School,Government,2020,Girls,62,39,30,13,6,7,157
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo,Musiitwa Seed Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga,Kanjuki Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2020,Boys,81,63,75,84,55,54,412
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Kayunga Town Council,Namagabi Senior Secondary School,Government,2020,Girls,64,58,69,74,68,71,404
Kayunga,Ntenjeru,Kayunga Town Council,Ndeeba Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Busaana Town Council,Busaana Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Nazigo Town Council,St Kalemba Senior Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2020,Boys,,,,,,,
Kayunga,Ntenjeru,Kangulumira Town Council,Kangulumira Public Secondary School,Government,2020,Girls,,,,,,,
Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2022,Boys,49,37,35,26,0,0,147
