district,county,year,subcounty,parish,school_name,ownership,gender,grade,value
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 2,15
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 2,16
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 3,12
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 3,21
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 4,7
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 4,9
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division U,3
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division U,3
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division X,3
Kayunga,Bbaale,2018,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division X,4
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 1,2
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 1,1
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 2,12
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 2,25
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 3,9
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 3,8
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 4,7
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 4,7
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division U,12
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division U,9
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division X,2
Kayunga,Bbaale,2018,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division X,1
Kayunga,Bbaale,2018,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 1,
Kayunga,Bbaale,2018,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division 1,
Kayunga,Bbaale,2018,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 2,3
Kayunga,Bbaale,2018,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division 2,5
Kayunga,Bbaale,2018,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 3,9
