district,county,subcounty,year,level,ownership,value
Kayunga,Bbaale,Bbaale,2024,Primary,Government,6
Kayunga,Bbaale,Bbaale,2024,Primary,Private,18
Kayunga,Bbaale,Bbaale,2024,Secondary,Government,1
Kayunga,Bbaale,Bbaale,2024,Secondary,Private,1
Kayunga,Bbaale,Bbaale,2024,Tertiary,Government,0
Kayunga,Bbaale,Bbaale,2024,Tertiary,Private,0
Kayunga,Ntenjeru,Busaana,2024,Primary,Government,21
Kayunga,Ntenjeru,Busaana,2024,Primary,Private,23
Kayunga,Ntenjeru,Busaana,2024,Secondary,Government,1
Kayunga,Ntenjeru,Busaana,2024,Secondary,Private,2
Kayunga,Ntenjeru,Busaana,2024,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana,2024,Tertiary,Private,0
Kayunga,Ntenjeru,Busaana Town Council,2024,Primary,Government,9
Kayunga,Ntenjeru,Busaana Town Council,2024,Primary,Private,25
Kayunga,Ntenjeru,Busaana Town Council,2024,Secondary,Government,1
Kayunga,Ntenjeru,Busaana Town Council,2024,Secondary,Private,2
Kayunga,Ntenjeru,Busaana Town Council,2024,Tertiary,Government,0
Kayunga,Ntenjeru,Busaana Town Council,2024,Tertiary,Private,0
Kayunga,Bbaale,Galiraya,2024,Primary,Government,11
Kayunga,Bbaale,Galiraya,2024,Primary,Private,22
Kayunga,Bbaale,Galiraya,2024,Secondary,Government,1
Kayunga,Bbaale,Galiraya,2024,Secondary,Private,1
Kayunga,Bbaale,Galiraya,2024,Tertiary,Government,0
Kayunga,Bbaale,Galiraya,2024,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira,2024,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira,2024,Primary,Private,28
Kayunga,Ntenjeru,Kangulumira,2024,Secondary,Government,1
Kayunga,Ntenjeru,Kangulumira,2024,Secondary,Private,5
Kayunga,Ntenjeru,Kangulumira,2024,Tertiary,Government,1
Kayunga,Ntenjeru,Kangulumira,2024,Tertiary,Private,0
Kayunga,Ntenjeru,Kangulumira Town Council,2024,Primary,Government,9
Kayunga,Ntenjeru,Kangulumira Town Council,2024,Primary,Private,45
Kayunga,Ntenjeru,Kangulumira Town Council,2024,Secondary,Government,1
Kayunga,Ntenjeru,Kangulumira Town Council,2024,Secondary,Private,8
Kayunga,Ntenjeru,Kangulumira Town Council,2024,Tertiary,Government,1
Kayunga,Ntenjeru,Kangulumira Town Council,2024,Tertiary,Private,0
Kayunga,Bbaale,Kayonza,2024,Primary,Government,31
Kayunga,Bbaale,Kayonza,2024,Primary,Private,59
Kayunga,Bbaale,Kayonza,2024,Secondary,Government,1
Kayunga,Bbaale,Kayonza,2024,Secondary,Private,5
Kayunga,Bbaale,Kayonza,2024,Tertiary,Government,0
Kayunga,Bbaale,Kayonza,2024,Tertiary,Private,0
Kayunga,Ntenjeru,Kayunga,2024,Primary,Government,19
Kayunga,Ntenjeru,Kayunga,2024,Primary,Private,45
Kayunga,Ntenjeru,Kayunga,2024,Secondary,Government,1
Kayunga,Ntenjeru,Kayunga,2024,Secondary,Private,8
Kayunga,Ntenjeru,Kayunga,2024,Tertiary,Government,0
Kayunga,Ntenjeru,Kayunga,2024,Tertiary,Private,1
Kayunga,Ntenjeru,Kayunga Town Council,2024,Primary,Government,7
Kayunga,Ntenjeru,Kayunga Town Council,2024,Primary,Private,25
Kayunga,Ntenjeru,Kayunga Town Council,2024,Secondary,Government,2
